Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30
Header,Filing Date,2026-01-08,2025-10-09,2025-07-10,2025-04-24,2025-01-08,2024-10-09,2024-07-09,2024-04-24,2024-01-08,2023-10-04,2023-07-10,2023-04-27,2023-01-06
Revenue & Margin,Segment-1,-,-,-,Beauty & Wellness,-,-,-,Beauty & Wellness,-,-,-,Beauty & Wellness,-
Revenue & Margin,Segment-1 %,-,-,-,52.5%,-,-,-,54.3%,-,-,-,55.8%,-
Revenue & Margin,Segment-2,-,-,-,Home & Outdoor,-,-,-,Home & Outdoor,-,-,-,Home & Outdoor,-
Revenue & Margin,Segment-2 %,-,-,-,47.5%,-,-,-,45.7%,-,-,-,44.2%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1802156000,1820033000,1862473000,1907665000,1910975000,1929883000,1947225000,2005050000,2000432000,2009424000,2039261000,2072667000,2170104000
Revenue & Margin,Rev-CoGS / Sale (%),46.71987330730525,47.30403234446848,47.58930728123307,47.93325866963015,48.04207271157394,47.80212064669205,48.07395139236606,47.313533328345926,45.95122453550033,43.675102915064215,42.633630516152664,41.73130560770254,41.609388305813916
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),12.219419406533063,13.335637320861764,14.218139001209682,15.204975716386263,15.607268540928061,15.272532065415364,15.93169767232857,16.305029799755616,15.0738940388876,13.305902587010008,13.267649408290552,12.455498157687655,11.507236519540077
Revenue & Margin,Op. Income / Rev (%),-40.45765183480231,-35.47309307029048,-15.842001467940744,7.482865178110412,10.82740485877628,12.369558154561702,12.875296896866052,12.99663350041146,12.403620817903333,10.868388155013577,10.714322492314619,10.218283979047285,9.606083395081527
Revenue & Margin,Net Profit / Rev (%),-43.975105373785624,-36.19868430957021,-17.888635164107075,6.487040439490162,6.047593505932835,7.350186513897475,7.817124369294766,8.408468616742725,8.10025034592528,6.866047185661165,6.926970113192965,6.912494867723566,6.768661778421679
EBITDA,Net Income,-792500000,-658828000,-333171000,123751000,115568000,141850000,152217000,168594000,162040000,137968000,141259000,143273000,146887000
EBITDA,D & A,53979000,54364000,55296000,55048000,55312000,54521000,54620000,51499000,48390000,47672000,44900000,44683000,43077000
EBITDA,Net Int Inc,-58811000,-55120000,-54115000,-51922000,-50423000,-51118000,-51556000,-53065000,-54628000,-54918000,-50430000,-40751000,-30024000
EBITDA,Tax Provision,6645000,-39861000,-14023000,-32087000,42439000,47253000,48419000,40448000,31987000,25860000,27123000,28016000,31811000
EBITDA,EBITDA,-673065000,-589205000,-237783000,198634000,263742000,294742000,306812000,313606000,297045000,266418000,263712000,256723000,251799000
EBITDA,Stock-Based Comp,20024000,19724000,15839000,21376000,24817000,28666000,30408000,33872000,19803000,19165000,19431000,26753000,38324000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,19.56,24.55,26.89,55.03,73.33,53.38,106.88,125.78,105.03,122.92,96.28,112.69,98.54
Capital Structure,O/S Shares,23035000,22959000,22937302,22904004,22864516,22991891,23861538,24005545,23792476,24018421,24049024,24121141,24105116
Capital Structure,Market Capitalization,450564600,563643450,616784050,1260407340,1676654958,1227307141,2550321181,3019417450,2498923754,2952344309,2315440030,2718211379,2375318130
Capital Structure,Cash,27137000,22370000,22669000,18867000,40804000,20137000,16148000,18501000,25247000,24214000,38869000,29073000,45337000
Capital Structure,Debt,946884000,932675000,912016000,956843000,774758000,750291000,786618000,702933000,774904000,885939000,878479000,977084000,1124736000
Capital Structure,Enterprise Value,1370311600,1473948450,1506131050,2198383340,2410608958,1957461141,3320791181,3703849450,3248580754,3814069309,3155050030,3666222379,3454717130
Capital Structure,netCommonStockIssuance,943000,-151000,426000,-15000,1492000,-109000,-100677000,-378000,1546000,-50089000,-2065999,51000,2021000
Capital Structure,netDebtIssuance,-2045999,21813000,-45478000,182615000,20333000,-35558000,82165000,-71414000,-109562000,7437999,-97563000,-146370000,-89562000
Liquidity & Cash Flow,DSO,78.92537951764442,79.37738697595043,78.73810855244614,77.66781706955886,76.01873847119926,75.60875452035175,75.82026922928783,74.48654148275604,73.76224735457141,75.10288458284563,79.39510379004943,83.78743003579446,83.40153052572596
Liquidity & Cash Flow,DIO,187.3008859695623,182.32940884218692,173.60407499987195,166.99347425998656,161.84984459710566,157.28871339682615,153.64063085676534,146.12015330512406,147.7867195426601,150.11037227227988,161.41488118134802,169.93226780965063,169.34528981475563
Liquidity & Cash Flow,DPO,101.21974039540049,104.2820037139604,106.20919109549396,105.9464223329464,103.77360880166542,100.26423451245734,94.06271974459929,88.38817458514374,81.73845667211427,73.1993976882964,74.94933431636535,79.92289474512219,84.64225553353741
Liquidity & Cash Flow,CCC,165.00652509180622,157.42479210417696,146.13299245682413,138.71486899659902,134.0949742666395,132.63323340472056,135.3981803414539,132.21852020273633,139.81051022511727,152.0138591668291,165.8606506550321,173.79680310032288,168.10456480694415
Liquidity & Cash Flow,OCF,94790000,91165000,146231000,113213000,151844000,218251000,210331000,306067000,391178000,441426000,367726000,208242000,195400000
Liquidity & Cash Flow,CapEx,-14091000,6109000,-12137000,-7917000,-6963000,-30113000,-33909000,-36644000,-58351000,-82786000,-110539000,-174864000,-182704000
Liquidity & Cash Flow,FCF,80699000,75119000,111939000,83141000,122726000,188138000,176422000,269423000,332827000,358640000,257187000,33378000,12696000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,4.817115901607982,2.9375601913991702,2.545585630822889,2.563843656701824,2.241452650778365,2.608709118147082,3.32537215953877,3.3312060126198277,3.8059854395593695,4.466800900718431
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,3.825623049959555,5.230589215239077,5.765914159395908,5.951043525486849,5.909846414774333,5.437596104561763,4.851196329072435,5.229268292682927,6.299796324016588,8.386590727418065
BQR,Net Income before extraordinary,-792500000,-658828000,-333171000,123751000,115568000,141850000,152217000,168594000,162040000,137968000,141259000,143273000,146887000
BQR,(NCO-CAPEX) / Total Debt (%),8.52258565991188,8.054145334655695,12.273797828108279,8.68909528522443,15.84055924559669,25.0753374357416,22.4279129132565,38.32840398729324,42.950739704531145,40.48134239490529,29.276397045347696,3.4160829570436113,1.1287982246500512
BQR,Score: Operating Leverage,75,75,75,58,45,45,45,42,45,48,48,52,55
BQR,Score: ICR,75,75,75,58,48,48,48,48,48,52,48,48,45
BQR,Score: Net Income,75,75,75,42,42,42,42,42,42,42,42,42,42
BQR,Score: FCF/Debt,58,58,55,58,52,42,45,35,25,25,42,75,75
BQR,BQR,70.75,70.75,70.0,54.0,46.449999999999996,43.949999999999996,44.699999999999996,41.15,39.699999999999996,41.349999999999994,45.0,54.65,55.25
