Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q),LTM (-19Q)
Header,Fiscal Period,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,0.0-0,2021.0-Q4,2021.0-Q3,2021.0-Q2,0.0-0,2021.0-Q1
Header,Statement Date,2025-07-31,2025-04-30,2024-12-31,2024-10-31,2024-07-31,2024-04-30,2023-12-31,2023-10-31,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-12-31,2021-10-31,2021-07-31,2021-04-30,2021-03-31
Header,Filing Date,2025-08-14,2025-05-29,2025-02-26,2024-11-07,2024-08-15,2024-05-30,2023-12-31,2023-11-09,2023-08-17,2023-06-01,2023-03-01,2022-11-10,2022-08-18,2022-06-02,0,2022-03-02,2021-11-12,2021-08-19,0,2021-06-01
Revenue & Margin,Segment-1,-,-,Center Store,-,-,-,-,-,-,-,Wholesale,-,-,-,Distribution,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,5281.5%,-,-,-,-,-,-,-,7098.6%,-,-,-,4990.2%,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Fresh,-,-,-,-,-,-,-,Retail Segment,-,-,-,Retail Segment,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,4586.7%,-,-,-,-,-,-,-,2901.4%,-,-,-,2890.2%,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,Other Product,-,-,-,-,-,-,-,-,-,-,-,Military,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,131.8%,-,-,-,-,-,-,-,-,-,-,-,2119.5%,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,9693074000.0,9652685000.0,9549324000.0,9532883000.0,9546450000.0,9628088000.0,9729219000.0,9793076000.0,9825340000.0,9786836000.0,9643100000.0,7334060000.0,7130975000.0,6930338000.0,6273240000.0,6273240000.0,6837612000.0,4764359000.0,4904911000.0,6965727000.0
Revenue & Margin,Rev-CoGS / Sale (%),16.33400302112622,16.095500889130847,15.838796547273922,15.598271792489218,15.50162625897585,15.363735769760309,15.269015940539523,15.194674278030723,15.182141279589306,15.260887175385385,15.528979270151716,15.762565345797553,15.812199594024658,15.912715945456052,15.715148790736524,15.715148790736524,15.811675187185234,15.776665864180261,15.417853657283487,15.519614822688284
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),1.1819160773971187,1.2345994922656236,1.3521271243912134,1.380998801726613,1.3684772873686029,1.328830812514385,1.2264602122739758,0.9691949699971694,0.8957247281010123,0.7131722652755191,0.7230869741058373,0.8401076620589414,0.7872275530344728,0.9147894373982914,1.0264074066989306,1.0264074066989306,1.2063568392005863,1.256181576577248,1.0605289270284415,1.2610456884112742
Revenue & Margin,Op. Income / Rev (%),1.1819160773971187,1.2345994922656236,1.3521271243912134,1.380998801726613,1.3684772873686029,1.328830812514385,1.2264602122739758,0.9691949699971694,0.8957247281010123,0.7131722652755191,0.7230869741058373,0.8401076620589414,0.7872275530344728,0.9147894373982914,1.0264074066989306,1.0264074066989306,1.2063568392005863,1.256181576577248,1.0605289270284415,1.2610456884112742
