Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2026-02-11,2025-11-07,2025-08-08,2025-05-09,2025-02-14,2024-11-08,2024-08-09,2024-05-10,2024-02-09,2023-11-03,2023-08-04,2023-05-09,2023-02-17,2022-11-04,2022-08-05,2022-05-05,2022-02-16,2021-11-05
Revenue & Margin,Segment-1,Subscription and Circulation,-,-,-,Subscription and Circulation,-,-,-,Entertainment,-,-,-,Entertainment,-,-,-,Entertainment,-
Revenue & Margin,Segment-1 %,6286.2%,-,-,-,6079.6%,-,-,-,4240.0%,-,-,-,4180.8%,-,-,-,4086.7%,-
Revenue & Margin,Segment-2,Advertising,-,-,-,Advertising,-,-,-,Subscription and Circulation,-,-,-,Subscription and Circulation,-,-,-,Subscription and Circulation,-
Revenue & Margin,Segment-2 %,2512.3%,-,-,-,2794.5%,-,-,-,3315.7%,-,-,-,3041.7%,-,-,-,3013.8%,-
Revenue & Margin,Segment-3,License,-,-,-,License,-,-,-,Advertising,-,-,-,Advertising,-,-,-,Advertising,-
Revenue & Margin,Segment-3 %,1201.5%,-,-,-,1126.0%,-,-,-,1520.0%,-,-,-,1638.4%,-,-,-,1826.6%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,License,-,-,-,License,-,-,-,License,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,924.3%,-,-,-,1139.1%,-,-,-,1072.9%,-
Revenue & Margin,Revenue Total,2311801000.0,2316303000.0,2354176000.0,2380086000.0,2421314000.0,2500857000.0,2538197000.0,2590891000.0,2711877000.0,2997549000.0,3042438000.0,3101835000.0,3096545000.0,2935734000.0,3064657000.0,3098024000.0,3077608000.0,2273899000.0
Revenue & Margin,Rev-CoGS / Sale (%),37.83634491031019,51.006366610931295,51.935964006089606,52.59150299611023,52.15742361378987,49.62586825236309,50.47906052997463,49.89472733511368,51.048664817762756,48.42372885313968,48.90337946081399,49.758965257662,51.04537476445522,54.42795566628311,53.57787184666996,53.65600782950681,53.46766059875072,56.12483228146896
