Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2
Header,Statement Date,2025-11-30,2025-08-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31
Header,Filing Date,2025-12-12,2025-09-12,2025-07-11,2025-03-07,2024-12-06,2024-09-06,2024-07-12,2024-03-08,2023-12-08,2023-09-08,2023-07-14,2023-03-09,2022-12-09,2022-09-09,2022-07-15,2022-03-11,2021-12-10
Revenue & Margin,Segment-1,-,-,Mattress Fabrics,-,-,-,Mattress Fabrics,-,-,-,Upholstery Fabrics,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,5341.8%,-,-,-,5164.4%,-,-,-,5275.5%,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Upholstery Fabrics,-,-,-,Upholstery Fabrics,-,-,-,Mattress Fabrics,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,4658.2%,-,-,-,4835.6%,-,-,-,4724.5%,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,204919000,207391000,213237000,213992000,222157000,225208000,225333000,237231000,229336000,228992000,234934000,230448000,258216000,274396000,294839000,316962000,316012000
